,Title,Review,
20,"Such an amazing site, Gaudi was purely genius.","Was able to visit all the important city sights, Park Guell and Sagrada Familia. Our tour guide was incredible and extremely knowledgeable about Gaudi. Had great explanations of everything we saw. She was very considerate of some physical limitations of some people and didn’t rush us through. Highly recommend Spain Day Tours.",
21,Do not miss out on visiting,"Thank you for your feedback! We love our city and are proud of our rich culture and history. We are happy to share them to our guests even if it's only for a short period of time. We also make it a point to assist our guests in getting skip-the-line tickets, if possible, to make their visits hassle-free. We wish you many more wonderful tours to come and it was our pleasure to welcome you in Spain. BarcelonaDayTours",
22,Amazing,Hello! Sorry for the late reply: it looks like somehow we stopped getting review notifications and we had been missing lots of them! Catching up now! Thank you so much for your review! Gaudi is my passion and nothing makes me happier than sharing it with travelers like you. It was a pleasure to show you around. I hope to see you again when you are back to Barcelona to see the new towers in Sagrada Familia that will be coming up in the next years!,
23,A Sunday to Remember,"We enjoyed our full day excursion with Marta as our friendly and knowledgeable guide immensely. We were picked up at our hotel at the scheduled time and dropped off at the designated site for the start of the tour on a comfortable small van that accommodated 12 people. The sunny day was perfect for our first stop in Montserrat where we took in breathtaking views before heading to the impressive Guell Park, on to hear more history about Gaudi and see our final stop at the Sangre Familia. A wonderful was to get an overview of Barcelona’s finest sites!",
24,A must see,"Thank you for your feedback! We will also convey your kind words to Marta. :-) We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
25,An unforgettable experience,"Thank you for your feedback! We will also convey your kind words to Marta. :-) We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
26,Magnificent!,"The tour was fantastic for our first visit to Barcelona. Our tour guide was so knowledgeable and friendly. The driver was also fantastic.
We enjoyed the day and learnt so much about all the wonderful places we visited.
The tour operator was very informative with all the communication. Highly recommend.",
27,Exceeded High Expectations,Thank you for taking the time to write about us and we sincerely appreciate it! We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
28,Surely the best way to visit,Thank you for taking the time to write about us and we sincerely appreciate it! We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
29,Well worth the visit…,"As a group of 6 we booked this as a pickup from the cruise ship. They stored our luggage and the dropped us off at our Barcelona hotel when tour finished. Antonio was our guide driving us to Monserrat and providing information about sites along the way. When we reached Monserrat he had a map and explained where to go and what to see. Normally he would park the van and come back and tour with us but we were more committed with him staying with the van and our luggage. They had arranged tickets to see the church and the boys choir. Drove us back to our hotel on time, even getting special access to the normally pedestrian only streets. Great tour, guide and overall services. Would highly recommend.",
30,Beautiful,"Sebastian was one of the best With Local tours that we've taken. He gave us a great tour, took us to some cool places ( and accommodated my vegetarian friend), was warm and engaging. Left Barcelona with a new friend!",
31,"Nice art, rude staff","Thank you for taking the time to write about us. We sincerely appreciate it. :-) We offer direct pick up and drop-off, if possible, in order to make your visit as hassle-free as possible. We believe it also makes the tour more personal. Our guides are the best and are passionate at what they do and, of course, they know the history, the food, and everything you need to know about Barcelona. Thank you again for your feedback and we wish you all the best for your future travels. BarcelonaDayTours",
32,"Beautiful park, but not a must see in my opinion.","We had an excellent tour guide, Javier, and bus driver. The bus was in excellent condition. If we make it back to Barcelona, I will be in touch. It was a fantastic experience!",
33,Good but not worth paying for,Thank you for taking the time to write about us and we sincerely appreciate it! Javi is one of our best guides and we are glad that you enjoyed his company. :-) We thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
34,Lovely but busy,Thank you for taking the time to write about us and we sincerely appreciate it! Javi is one of our best guides and we are glad that you enjoyed his company. :-) We thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
35,Interesting,One of the best small group tours I've ever done! Park Guell was amazing and our guide knew so much of the city detail! Hotel pickup was a great benefit since this was our first time in Barcelona. I would absolutely recommend Barcelona Day Tours to those visiting who want a reputable and enjoyable tour.,
36,A must in Barcelona,"Thank you for your feedback. We sincerely appreciate it! Park Guell is one of the most popular sites in Barcelona and we are glad that you enjoyed seeing it. We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
37,Just OK,"Thank you for your feedback. We sincerely appreciate it! Park Guell is one of the most popular sites in Barcelona and we are glad that you enjoyed seeing it. We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
38,Fabulous views and architecture at Parc Guell,"4,111 reviews",
39,Very interesting park,"Thank you for your feedback. We highly appreciate it. We will also convey your kind words to our Marta. :-) Our guides are the best and are passionate at what they do and, of course, they know the history, the food, and everything you need to know about Barcelona. Thank you again for your feedback and we wish you all the best for your future travels! BarcelonaDayTours",
40,A bus trip is recommended,"We had the most amazing experience with Spain Day Tours. We were doing a small two day trip for 13 people prior to going on a cruise. Originally we booked Spain Day Tours simply for our private 4 hour tour of Barcelona but then also ended up using them for transfers as well.

The number one thing I'll say is that they are so professional, organized, quick to respond, and very good about sending detailed itineraries and reminders to make you feel certain you are in good hands. Especially as people travelling abroad we felt so comfortable. They arranged two separate hotel pick ups for our groups to different Airbnbs as well as cruise drop off and cruise pick up to airport at the end. The drivers were waiting for us exactly where we were told they would be. The transfers were large and clean and the drivers were friendly and helpful.

Our 4 hour private tour was amazing. We opted to go inside Park Guell and just see Sagradia Familia from the outside. ""Charles"" our driver was so wonderful and enthusiastic, teaching us so much along the way. We saw so many of the sights and even though we only had one full day in Barcelona we felt we saw it all! It was an amazing introduction. Our guide had a good sense of humor, was patient with our needs (and small children) and was always willing to answer a question or take a photo. It was a wonderful experience and the van was perfect sized for our group of 13.

I honestly could not recommend them enough. I book lots of travel for myself and others and will be using them again in the future.",
41,PSA - Buy tickets from official site,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We love our city and are proud of our rich culture and history. We are happy to share them to our guests even if it's only for a short period of time. We wish you many more wonderful tours to come and it was our pleasure to welcome you in Spain! :-) BarcelonaDayTours,
42,Not worth it,"Well organized! We were picked up from the cruise port in speciose bus. It was only 11 of us.
Tour guide was very pleasant and knowledgeable.

In 4 hours we have seen a lot. we did get Skip-The-Line tickets @ Park Guell. amazing place.
Strongly recommend this company.
Helen",
43,A Special Place,"We had a great time on our tour, our tour guide was very courteous and knowledgeable. They picked us up at the port and dropped us at our hotel. Just wish we had more time to stay in Barcelona. Can’t wait to go back.",
44,Not All that Great,"Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to our staff. :-) We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
45,"Boring, nothing to do and too many steps","Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to our staff. :-) We always pick up our clients directly, if possible, in order to make their visit as hassle-free as possible. We believe it also makes the tour more personal. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours",
46,Disappointed,"We had the BEST tour guide ever! We wanted to see and experience as much of Barcelona as possible in a 1/2 day private tour and were impressed by the previous Yelp reviews posted for Barcelona Day Tours. With only a day’s notice, by communicating via email, we were abLa Sagrada schedule a tour to our liking after speaking to “Jay”. Our driver/tour guide, “Fabio”, was the absolute best! He picked us up at our hotel in a nice, clean, and very comfortable Mercedes minivan. Fabio took us to many of Barcelona’s highlights with exception to La Sagrada Familia & Basilica Del Sagrado Corazon Tibidabo as we had already visited those two churches in previous days while in Barcelona.

Fabio took us to see the following within our 4-hour tour: • Park Guell • Passeig de Gracia • La Pedrera/Casa Mila • Casa Batllo • Casa Amataller • Casa Morera • Plaza España • The National Palace • The Olympic Ring • Montjuic • The Columbus Monument • Port Olympic • Plaza Cataluña • Bunkers Del Carmel

Fabio was very friendly, personable, and accommodating to our requests. He was able to fit our minivan into many tight streets which we never thought he’d be able to navigate through showing us the insights of the old streets of Barcelona near the walls of the city. We got to see & experience what would be part of a walking tour without actually “walking”. We loved every bit of our guided tour experience, and maybe would’ve liked to have gotten to ride their suspended skyline from the beaches to the mountains & driven by the Arch de Triumph, but that was no fault of our guide. Our party overly extended many of our independent stops which only shortened our number of sightseeing stops, unless we wanted to add time to our tour. We couldn’t praise Fabio enough! We would recommend him highly, and suggest anyone looking to book a tour request him by name when emailing to book a tour. If we could give Fabio a 6-star review, he’d be definitely deserving of one!!!",
47,Quite a climb but nice Gaudi works,"Thank you for your feedback. We highly appreciate it. We will also convey your kind words to Fabio. :-) Our guides are the best and are passionate at what they do and, of course, they know the history, the food, and everything you need to know about Barcelona. We love our city and are proud of our rich culture and history. We are happy to share them to our guests even if it's only for a short period of time. We wish you many more wonderful tours to come and it was our pleasure to welcome you in Spain! BarcelonaDayTours",
48,BUY TICKETS BEFOREHAND !!!!!,"Excellent Tour to see Gaudi’s masterpieces with a fantastic guide Marta. Hotel pick up in a very comfortable Minivan with a friendly small group of people. Marta was so passionate about his work and was so informative. We learned so much about his life & work. The highlight was Le Sagrada Familiar. You have to see it to believe it. Wow what a masterpiece. We were taken all the way around it. Will never forget it. Loved Park Guell also. Excellent value for money trip, would definitely recommend for anyone visiting Barcelona!!",
49,Recommend,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to Marta. :-) We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
50,Parc Guell no thanks,Thank you very much! You are very kind to have taken the time to write about us and we highly appreciate it. We will be sure to convey your kind words to Marta. :-) We are proud of our rich culture and history and we are happy to share them to our guests even if it's only for a short period of time. We hope you visit us again and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
51,Desultory,Thank you for taking the time to write about us. We sincerely appreciate it. Our half day tour of Barcelona City is a great way to see a panoramic view of its most popular sites in a short time. We also make it a point to get skip-the-line tickets for our guests (if we can) so that your visit is as hassle-free as possible and you can relax and enjoy what our beautiful city has to offer. :-) Thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
52,Terrible staff,Thank you for taking the time to write about us. We sincerely appreciate it. Our half day tour of Barcelona City is a great way to see a panoramic view of its most popular sites in a short time. We also make it a point to get skip-the-line tickets for our guests (if we can) so that your visit is as hassle-free as possible and you can relax and enjoy what our beautiful city has to offer. :-) Thank you again for your feedback and it was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
53,Not worth the price or the hassle.,This was the perfect intro tour to Barcelona! Communication was wonderful right from the beginning. Our guide was knowledgeable and answered every question with ease! We couldn't ask for anything more! We will tell anyone we know heading to Barcelona to book a tour with this company!,
54,Gaudi's Parc Guell,"Thank you for taking the time to write about us. We always ensure that every transaction you have with us are as hassle-free as possible so that you would be able to enjoy the tour more and not worry about anything else. :-) We will also convey your kind words to our staff. Our guides are the best and are passionate at what they do and, of course, they know the history, the food, and everything you need to know about Barcelona. We thank you again for your feedback. It was our pleasure to welcome you in our beautiful city. Visit us again! :-) BarcelonaDayTours",
55,Second must visit in Barcelona,"Thank you for taking the time to write about us. We always ensure that every transaction you have with us are as hassle-free as possible so that you would be able to enjoy the tour more and not worry about anything else. :-) We will also convey your kind words to our staff. Our guides are the best and are passionate at what they do and, of course, they know the history, the food, and everything you need to know about Barcelona. We thank you again for your feedback. It was our pleasure to welcome you in our beautiful city. Visit us again! :-) BarcelonaDayTours",
56,Wonderful Tour of Montserrat,"We took five different private tours (tapas dinner, Barcelona city, Gothic Quarter, Monserrat, Sagrada Familia and Casa Battló over two and a half days. All of our guides were prompt, courteous, and knowledgeable. They did every possible to make our experience wonderful. We strongly endorse the company if you’re looking for a first class experience.",
57,great overview of the city,Thank you for your feedback. We highly appreciate it. We will also convey your kind words to our staff. :-) We are committed to providing quality tours and we make sure that we share Spain's rich culture and history with our guests even if it's only for a limited time. We thank you for your feedback and we hope that you visit us again. It was our pleasure to welcome you in Barcelona. BarcelonaDayTours,
58,Great small group tour,Thank you for your feedback. We highly appreciate it. We will also convey your kind words to our staff. :-) We are committed to providing quality tours and we make sure that we share Spain's rich culture and history with our guests even if it's only for a limited time. We thank you for your feedback and we hope that you visit us again. It was our pleasure to welcome you in Barcelona. BarcelonaDayTours,
59,Great tour of Barcelona,Our tour of Barcelona City was outstanding! Christian did a great job of pointing out key sights and explaining the history of the things we were seeing. We would have never had this kind of tour on one of the “big bus” tours and it was well worth the cost to us. I’d highly recommend your company and tours.,
60,Best tour service in Barcelona!,Thank you for taking the time to write about us. We highly appreciate it. We will surely convey your kind words to Christian. :-) Our tour was designed to let you see as much as possible without sacrificing quality and comfort. Our guides are also experienced enough that they are able to tell you much about Spain's rich culture and history during the tour. We thank you for your feedback and we hope that you visit us again. It was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
61,Simply the best Bacelona city tour ever!!!,Thank you for taking the time to write about us. We highly appreciate it. We will surely convey your kind words to Christian. :-) Our tour was designed to let you see as much as possible without sacrificing quality and comfort. Our guides are also experienced enough that they are able to tell you much about Spain's rich culture and history during the tour. We thank you for your feedback and we hope that you visit us again. It was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
62,Beautiful Barcelona and Montserrat,"We had the best time with Christian on our day tour. He was wonderful at explaining, directing, and just talking with us. The car was neat and comfortable. Due to the time change I even took a little nap between stops which was helpful. I have been telling our friends and family what a great, informative, time we had visiting the highlights of Barcelona during our day tour. We were in Barcelona for a short time and with your tour we did not feel we missed a thing! If we had tried to do that on our own it would not have been possible.

Thank you so much for making our trip an amazing experience! Mary",
63,"Great tour option, including transfer from cruise ship!",Thank you for taking the time to write about us and we highly appreciate it. We will also convey your kind words to Christian. :-) Our tour was designed to let you see as much as possible for half a day without sacrificing quality and comfort. Our guides are also experienced enough that they are able to tell you much about Spain's rich culture and history during the tour. We thank you for your feedback and we hope that you visit us again. It was our pleasure to welcome you in Barcelona! BarcelonaDayTours,
64,Excellent tour!,"2,469 reviews",
65,Best tour service in Barcelona,"Great tour, great food! We went to three great tapas restaurants, two of which we would not have found on our own. Our guide Alex was great. The food and wine tastings were varied and all delicious. A great activity to do.",
66,Excellent day tour!,We enjoyed this tour - in a few hours was a super good way to get access to seats at several great and historical tapas bars. And our guide Vera was very informative - we saw a number of historical buildings and sites and learned a great deal of interesting history ancient and more recent. Definitely worth it as we could not have planned or found our way around Barcelona or eaten as well on our own.,
67,Barcelona half day tour with hotel drop off,"Lots of wonderful food, drinks and interesting history. We stopped at 3 places for various food and walked around the city after each stop and learned about the history.",
68,"The best way to see things in Spain, Hands Down! 5-Star","Dear X3229QEmonicap, Thank you for the review provided! We can't wait to see you on one of our tours again! Best, Sasha",
69,Best 1/2 day tour.,"Dear X3229QEmonicap, Thank you for the review provided! We can't wait to see you on one of our tours again! Best, Sasha",
70,Ideal Overview of Barcelona,"Our tour with Alexandra was so much fun. She is a great guide and took us to a number of interesting spots to sample the food in this wonderful city. The range of topics we discussed was wide, and it was interesting to hear a local's take on all of them. Highly recommended!",
71,Great Tour!,"Me and my girlfriend both had a fantastic day with the best guide of them all, Blondie. We were explained all the essentials of kayaking and were provided with food by the blondie.",
72,"Half day tour with Cruise pick up, luggage storage and the hotel drop off","Dear selmrl, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
73,Fantastic Barcelona Experience,"Got stuck in traffic enroute to the meeting place. Mad it there right at 6:30, but didn't see the guide anywhere. Called the number provided for the tour to see if we could just catch up with the tour. The person on the phone put us on hold for $20 minutes (which cost me a dollar a minute with our carrier) & hung up on us.
Might have been a great tour, but we will never know.",
74,Best Small Group Tours,"Dear SandoDono, Thank you for taking the time to leave us feedback and make us better. We are deeply sorry to hear that you were late for the tour. Due to strict time slots for entry into attractions, we recommend you show up 15 minutes before the scheduled starting time on your voucher. Our groups depart precisely at the scheduled tour start time. If you show up late or cannot find the meeting point, for any reason, refund requests are not honored per policy. For most tours, it is not logistically possible to join the group after it has started. We have group tickets with a specific time to enter the place, so we cannot wait for a long time, and otherwise all guests would miss the tour. We kindly request you contact us at feedback@walks.org so that we can investigate this matter further and try to resolve any issues you may have encountered. Best, Sasha",
75,Montserrat & Sitges Beach,"Dear SandoDono, Thank you for taking the time to leave us feedback and make us better. We are deeply sorry to hear that you were late for the tour. Due to strict time slots for entry into attractions, we recommend you show up 15 minutes before the scheduled starting time on your voucher. Our groups depart precisely at the scheduled tour start time. If you show up late or cannot find the meeting point, for any reason, refund requests are not honored per policy. For most tours, it is not logistically possible to join the group after it has started. We have group tickets with a specific time to enter the place, so we cannot wait for a long time, and otherwise all guests would miss the tour. We kindly request you contact us at feedback@walks.org so that we can investigate this matter further and try to resolve any issues you may have encountered. Best, Sasha",
76,Amazing Experience!,"We had a wonderful time exploring Barcelona with our guide Ariana. Experiencing Barcelona food culture and history was an excellent way to gain appreciation for this great city. Ariana was knowledgeable and fun to be with. We’re going to circle back to enjoy more food and drink from the vendors she introduced us to. Shopping at the local food markets is not to be missed. We purchased spices this morning after having breakfast of spinach pie, espresso and tomato bread. Yum.",
77,Barcelona Highlights Tour,"Dear Cynthia, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
78,AMAZING Private Tour Experience!!!,"Dear Cynthia, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
79,Excellent Tour by Exceptional guide,"I really recommend this tour. We spent a fantastic evening in Benne’s company with great food, drinks and a bit of interesting history. You walk through the old quarter from place to place as she guides you through history and getting you ready for the next meal.",
80,Well organized!,"Dear antonm207, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
81,The perfect start in Barcelona,"Dear antonm207, Thank you for the review provided! We are extremely happy to hear that you had a great experience with us and enjoyed the tour. We look forward to seeing you with us in the near future! Best, Sasha",
82,Barcelona and Monserrat private touring,"Devour Food Tour in Barcelona. TTT tour El Born. Valentina Procepia was the best guide we’ve ever had on a tour. Her passion, knowledge and energy made our tour amazing! The food was excellent and fun.",
83,Barcelona Private City Tour,"Dear Pathfinder646252, Thank you for providing us with this feedback. We are glad to hear that you had an enjoyable time with us. Best, Sasha",
84,I feel we know Barcelona now!,"Dear Pathfinder646252, Thank you for providing us with this feedback. We are glad to hear that you had an enjoyable time with us. Best, Sasha",
85,"Great tour, great food!","This was by far my favorite Barcelona food tour. Santi was an outstanding guide, being both informative and entertaining. He made it feel like I had a friend taking me around to his favorite places. Next time I'm in Barcelona, I'll be doing this tour again!",
86,"Superb tapas, drink and history all in one tour","Dear GeorgeM5750, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
87,Fun time with Ariana!,"Dear GeorgeM5750, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
88,Get off the beaten path and visit this wonderful neighborhood in Barceleno with a true professional.,"Terrific tour! Guide Dom was knowledgeable, personable, and informative. The selections of restaurants was terrific, and the sampling of tapas was excellent. The food alone justified the price. We used the knowledge we learned throughout our 2 week tour around Catalonia. Well worth it!",
89,DON'T BE LATE!,"Dear VincentC21, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
90,Charming and delicious tour,"Dear VincentC21, Thank you for providing us with this feedback. We are glad to hear that you enjoyed your time with us and cannot wait to see you back on one of our tours. Best, Sasha",
91,A tasty way to explore the gothic quarter,"2,469 reviews",
92,Thank you Valentina! Barcelona food tour.,Valentina made our Tapas tour amazing!!! Her high energy and enthusiasm about the history and the food made this tour a must do. Her friendliness eased strangers into friends during the three hour tour. We tasted all the Barcelona foods we came for all in one night. Took the tour as soon as we got here so we now have time to go back and do more delicious eating and drinking.,
93,Favorite Barcelona Tour!,"Dear chrisbN7876SY, Thank you for taking the time to provide us with this feedback. We look forward to seeing you with us in the near future! Best, Sasha",
94,Recommended! Excellent food and history tour!,"Dear chrisbN7876SY, Thank you for taking the time to provide us with this feedback. We look forward to seeing you with us in the near future! Best, Sasha",
95,Great tour lead by a great guide,We had best tour guide Feliciano Dominguez. He was very knowledgeable and shared his love for Barcelona. The food was amazing and the local owners shared their local flavor with tapas and wine. You won't be disappointed. Come hungry because it is a lot of food. If your vegetarian they will make adjustments for you. Feliciano is a guide you want to have a Barcelona experience.,
96,Feliciano shows you a Barcelona experience!,"Dear SKas11, Thank you for the review provided. We hope you had a great time not only with us but also enjoyed the city fully. We look forward to seeing you again soon! Best, Sasha",
97,Saved the best for last,"Dear SKas11, Thank you for the review provided. We hope you had a great time not only with us but also enjoyed the city fully. We look forward to seeing you again soon! Best, Sasha",
